"Story","Title","Result","Date","Stability","Duration (s)"
"Get Green icon by scanning Js Buttons.","Log in Lecc page","SUCCESS","2019-12-05T19:49:21.0307577-06:00[America/Mexico_City]","0.0","111.24"
"Get Yellow icon by scanning Js Buttons.","Log in Lecc page","SUCCESS","2019-12-05T19:51:15.5948152-06:00[America/Mexico_City]","0.0","76.42"
